Latitude,Longitude,Altitude,Mac1,Signal1,Mac2,Signal2,Mac3,Signal3,Mac4,Signal4,Mac5,Signal5,Mac6,Signal6,Mac7,Signal7,Mac8,Signal8,Mac9,Signal9,Mac10,Signal10
-1,-1,-1,34:8f:27:20:89:b8,-43,34:8f:27:20:89:b8,-44,34:8f:27:20:89:b8,-47,34:8f:27:20:89:b8,-48,34:8f:27:20:89:bc,-48,34:8f:27:20:89:b8,-49,34:8f:27:20:89:b8,-51,34:8f:27:20:89:bc,-53,34:8f:27:20:89:bc,-53,34:8f:27:a0:89:b7,-53
32.09824569,35.20442041,699.6501697,30:e1:71:0d:e0:67,-56,30:e1:71:0d:e0:67,-56,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-59,30:e1:71:0d:e0:67,-60,30:e1:71:0d:e0:67,-63,24:79:2a:2b:07:b8,-63,30:e1:71:0d:e0:67,-64,24:79:2a:2c:5c:18,-64
32.09848375,35.20462564,702.160037,30:e1:71:0d:e0:67,-54,30:e1:71:0d:e0:67,-54,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-58,30:e1:71:0d:e0:67,-59,30:e1:71:0d:e0:67,-60,24:79:2a:2b:07:b8,-61,30:e1:71:0d:e0:67,-61,24:79:2a:2b:07:b8,-61
-1,-1,-1,30:e1:71:0d:e0:67,-62,30:e1:71:0d:e0:67,-62,30:e1:71:0d:e0:67,-63,30:e1:71:0d:e0:67,-64,30:e1:71:0d:e0:67,-64,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-65,30:e1:71:0d:e0:67,-66,30:e1:71:0d:e0:67,-66
32.10370507,35.21029201,704.7374235,24:79:2a:2b:07:b8,-57,24:79:2a:2b:07:bc,-57,24:79:2a:2b:07:b8,-58,24:79:2a:2b:07:bc,-58,24:79:2a:2b:07:b8,-59,24:79:2a:2b:07:bc,-59,30:e1:71:0d:e0:67,-60,24:79:2a:2b:07:b8,-60,24:79:2a:2b:07:b8,-60,24:79:2a:2b:07:b8,-61
32.10393478,35.2101456,703.8106542,24:79:2a:2c:5b:d8,-71,24:79:2a:ab:07:b7,-75,,,,,,,,,,,,,,,,
-1,-1,-1,1c:b9:c4:15:ed:b8,-92,,,,,,,,,,,,,,,,,,
32.10368273,35.21014122,710.7166111,3c:52:82:ef:a4:8b,-60,24:79:2a:2b:07:bc,-63,24:79:2a:ab:07:b7,-67,,,,,,,,,,,,,,
32.10257193,35.20909748,702.2468883,24:79:2a:2b:07:b8,-64,30:e1:71:0d:e0:67,-82,,,,,,,,,,,,,,,,
32.10198498,35.20830422,710.7456497,24:79:2a:ab:07:b7,-61,0a:27:22:f3:bb:2b,-89,,,,,,,,,,,,,,,,
32.10393489,35.21058834,702.2758435,24:79:2a:2b:07:b8,-57,,,,,,,,,,,,,,,,,,
32.10369861,35.21017541,710.7485234,24:79:2a:2b:07:bc,-58,,,,,,,,,,,,,,,,,,
32.10363048,35.21005058,710.6278805,3c:52:82:ef:a4:8b,-50,,,,,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:a0:89:b7,-54,,,,,,,,,,,,,,,,,,
32.1027177,35.20922299,704.9407051,34:8f:27:20:89:b8,-50,34:8f:27:20:89:bc,-53,34:8f:27:a0:89:b7,-54,24:79:2a:2b:07:bc,-73,30:e1:71:0d:e0:67,-73,24:79:2a:2b:07:b8,-74,24:79:2a:ab:07:b7,-75,3c:52:82:ef:a4:8b,-78,24:79:2a:2c:5c:18,-86,1c:b9:c4:16:06:bc,-88
-1,-1,-1,24:79:2a:2b:02:78,-89,,,,,,,,,,,,,,,,,,
32.10280513,35.20921144,706.8887939,34:8f:27:20:89:b8,-44,24:79:2a:ac:5c:17,-89,1c:b9:c4:16:06:b8,-89,,,,,,,,,,,,,,
32.10435895,35.20976125,686.3071861,1c:b9:c4:16:05:38,-89,,,,,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:20:89:b8,-39,b2:6c:ac:9f:fb:1f,-89,90:6c:ac:9f:fb:1f,-91,,,,,,,,,,,,,,
32.10385319,35.21045901,704.7986823,24:79:2a:2b:07:b8,-67,24:79:2a:2b:07:bc,-68,24:79:2a:ab:07:b7,-69,24:79:2a:2c:5c:18,-81,,,,,,,,,,,,
32.10233917,35.20835634,700.5748256,30:e1:71:0d:e0:67,-55,24:79:2a:2c:5c:18,-67,24:79:2a:2c:5c:1c,-68,24:79:2a:2b:02:78,-72,24:79:2a:ac:5c:17,-72,b2:6c:ac:9f:f1:c5,-85,a2:6c:ac:a0:3d:eb,-86,90:6c:ac:a0:3d:eb,-89,,,,
32.10226104,35.20869595,705.9217548,30:e1:71:0d:e0:67,-61,24:79:2a:2b:07:b8,-64,24:79:2a:2c:5c:18,-64,24:79:2a:ab:07:b7,-66,24:79:2a:2b:02:78,-68,24:79:2a:2b:07:bc,-70,c4:12:f5:fd:6a:74,-71,24:79:2a:2c:5c:1c,-72,24:79:2a:ab:02:77,-76,24:79:2a:2b:02:7c,-78
32.10249694,35.20772457,686.2685272,30:e1:71:0d:e0:67,-55,1c:b9:c4:16:05:38,-91,,,,,,,,,,,,,,,,
-1,-1,-1,90:6c:ac:9f:fb:1f,-87,b2:6c:ac:9f:fb:1f,-91,1c:b9:c4:15:23:5c,-91,,,,,,,,,,,,,,
-1,-1,-1,a2:6c:ac:a0:3d:eb,-84,,,,,,,,,,,,,,,,,,
32.10291372,35.20927332,710.7586135,24:79:2a:ac:5c:17,-69,3c:52:82:ef:a4:8b,-73,1c:b9:c4:95:23:57,-89,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:60:8b:93,-75,,,,,,,,,,,,,,,,,,
32.10037708,35.20654218,710.6771086,24:79:2a:2b:07:bc,-65,34:8f:27:20:89:b8,-72,1c:b9:c4:15:34:b8,-89,,,,,,,,,,,,,,
32.10422292,35.2093103,686.4634635,1c:b9:c4:15:23:58,-85,,,,,,,,,,,,,,,,,,
-1,-1,-1,90:6c:ac:a0:3d:eb,-76,,,,,,,,,,,,,,,,,,
32.10257877,35.20781408,686.2702262,1c:b9:c4:16:05:38,-86,b2:6c:ac:9f:fb:1f,-86,,,,,,,,,,,,,,,,
-1,-1,-1,1c:b9:c4:95:23:57,-89,,,,,,,,,,,,,,,,,,
32.10091355,35.20582714,686.4653583,90:6c:ac:9f:f1:c5,-81,90:6c:ac:a0:3d:eb,-81,34:8f:27:20:89:bc,-91,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:a0:89:b7,-89,,,,,,,,,,,,,,,,,,
32.10018428,35.20478434,684.9196188,24:79:2a:2b:02:7c,-74,24:79:2a:ab:02:77,-74,b2:6c:ac:a0:3d:eb,-75,a2:6c:ac:a0:3d:eb,-76,,,,,,,,,,,,
32.10312048,35.20959762,707.2971545,30:e1:71:0d:e0:67,-56,24:79:2a:2b:02:78,-68,24:79:2a:2c:5c:18,-69,24:79:2a:2c:5c:1c,-70,24:79:2a:2b:07:bc,-71,24:79:2a:ab:07:b7,-71,24:79:2a:2b:07:b8,-72,24:79:2a:ac:5c:17,-72,3c:52:82:ef:a4:8b,-79,a2:6c:ac:9f:f1:c5,-80
32.10393489,35.21058834,702.2758435,24:79:2a:2b:07:b8,-65,,,,,,,,,,,,,,,,,,
-1,-1,-1,34:8f:27:20:89:b8,-77,,,,,,,,,,,,,,,,,,
32.10412124,35.2100324,691.6000456,24:79:2a:2c:5c:18,-64,1c:b9:c4:15:23:58,-80,,,,,,,,,,,,,,,,
32.09705621,35.20290969,710.6057081,24:79:2a:2b:07:bc,-66,34:8f:27:60:8b:93,-85,c4:12:f5:fd:6a:74,-87,b2:6c:ac:9f:fb:1f,-87,a2:6c:ac:9f:fb:1f,-90,,,,,,,,,,
32.10431856,35.20940464,685.7498898,b2:6c:ac:9f:f1:c5,-77,c2:6c:ac:9f:fb:1f,-90,,,,,,,,,,,,,,,,
32.1037249,35.21020742,710.7830608,24:79:2a:ab:07:b7,-66,,,,,,,,,,,,,,,,,,
32.10452103,35.20972421,686.5181812,c2:6c:ac:9f:fb:1f,-85,,,,,,,,,,,,,,,,,,
-1,-1,-1,90:6c:ac:9f:fb:1f,-85,,,,,,,,,,,,,,,,,,
32.10382839,35.21040222,706.0947974,24:79:2a:2b:07:b8,-59,24:79:2a:2b:07:bc,-61,,,,,,,,,,,,,,,,
32.10380445,35.21025489,710.9347989,24:79:2a:ac:5c:17,-67,,,,,,,,,,,,,,,,,,
32.10276978,35.2092319,706.7232977,30:e1:71:0d:e0:67,-63,24:79:2a:2c:5c:1c,-67,24:79:2a:ac:5c:17,-67,30:e1:71:0d:e0:67,-68,24:79:2a:2b:07:bc,-70,24:79:2a:2b:02:78,-70,24:79:2a:ab:07:b7,-71,24:79:2a:2b:07:b8,-72,24:79:2a:2c:5c:18,-74,24:79:2a:2b:02:78,-75
32.10333244,35.20962529,702.3806482,24:79:2a:ab:07:b7,-67,24:79:2a:2b:07:bc,-68,1c:b9:c4:16:1d:78,-69,24:79:2a:2b:07:b8,-71,1c:b9:c4:16:1d:7c,-71,1c:b9:c4:16:06:bc,-73,1c:b9:c4:16:06:b8,-75,3c:52:82:ef:a4:8b,-77,34:8f:27:20:89:b8,-78,24:79:2a:2b:02:78,-79
32.10335308,35.20962262,701.3150574,24:79:2a:2b:07:b8,-66,24:79:2a:2c:5b:d8,-74,1c:b9:c4:96:ed:47,-86,1c:b9:c4:16:ed:4c,-86,,,,,,,,,,,,
32.1020848,35.20835985,710.594653,3c:52:82:ef:a4:8b,-72,24:79:2a:2c:5b:dc,-79,,,,,,,,,,,,,,,,
32.1017589,35.2079992,710.4387903,24:79:2a:ac:5b:d7,-81,1c:b9:c4:95:fd:47,-87,,,,,,,,,,,,,,,,
32.10277635,35.20924253,699.8463651,1c:b9:c4:16:06:bc,-65,1c:b9:c4:16:06:b8,-66,1c:b9:c4:96:06:b7,-66,1c:b9:c4:15:ed:b8,-87,1c:b9:c4:15:1c:b8,-90,,,,,,,,,,
32.10135994,35.20757561,704.1800345,1c:b9:c4:16:ed:48,-73,3c:52:82:ef:d4:52,-75,1c:b9:c4:16:ed:4c,-77,a0:8c:fd:0a:24:56,-87,1c:b9:c4:15:1c:bc,-90,1c:b9:c4:15:ed:bc,-91,1c:b9:c4:95:ed:b7,-91,,,,,,
32.10296618,35.20941296,705.4781273,1c:b9:c4:16:06:b8,-61,1c:b9:c4:96:e5:a7,-89,1c:b9:c4:16:e5:ac,-90,,,,,,,,,,,,,,